content,label
Tdk bs tarik atau setor uang tanpa kartu,Negatif
"Mendingan ga usah pake apk ini, saya 200rb top up ke e walet saya status belum berhasil tapi sado kepotong, telpon ke cs tidak ada penyelseaian sama sekali",Negatif
Dana DPLK malah jadi ilang menunha. Gabisa diliat lagi,Negatif
"App nya nyusahin, udah 3 kali nyangkut mulu transaksi dan saldo kepotong.... Emang sih balik lagi tapi males telp2 CS mulu. Ga lagi2 dah transaksi pake wonder.",Negatif
Kasih satu apk nya pas udh daftar mau bikin kode konci 6 digit kga bisa,Negatif
"Aplikasi jadul... Udah gitu ""maksa"" orang download sampe ganggu pas buka BNI mobile",Negatif
Error udah berhari-hari,Negatif
Vermuk nya susah banger taiii,Negatif
"Notifikasi untuk saldo masuk harus cek manual, sangat kuno untuk tahun 2024.",Negatif
"Aplikasi gk jelas Maaf sy hapus Dah foto ktp Verifikasi wajah Eh malah maaf belum bisa, Awas aja kalo data saya disalah gunakan..",Negatif
Mau top e wallat. Trasfer VA kok ada biaya admin ya??? Padahal di BNI mobile banking gratis!!! Aplikasi lucu. Jd males pake ny sumpahhh.,Negatif
Kapan fitur top up e wallet di hidupkan kembali?,Negatif
Ribet setiap buka aplikasi harus verifikasi terus bagusan aplikasi lama,Negatif
"scanning wajah susah bnget,tengok kanan kiri apk apa ini mau login ulang aj susaj bnget scannya",Negatif
Ingin menggantikan BNI Mobile Banking Tetapi masih banyak Fitur yang belum tersedia Contohnya tarik tunai mobile bangking belum tersedia saran aja nih jgn meluncurkan aplikasi pengganti kalau belum lengkap,Negatif
"Vermuk, berkali kali gagal. Ga jelas nih aplikasi. Sdh ngikutin panduan tetep aja gagal terus. aneh. Nyesel download menuh2in memori hp",Negatif
Verifikasi wajah gagal terus padahal sudah mengikuti...,Negatif
"Verifikasi foto yang ribet, susah terbaca meski telah ikuti instruksi",Negatif
"Verifikasi wajah terlalu sulit, padahal sudah mengikuti arahan dari aplikasi, dan BNI terkesan memaksa penggunaan aplikasi wonder dengan cara menyulitkan akses pengguna BNI Mobile Banking",Negatif
"Mengapa saat memasukkan kode Verifikasi email dari wondr kode nya selalu salah, padahal sudah memasukkan kode yang benar dari email wondr plis respon",Negatif
Kenapa susah sekali masuk di aplikasi nya dari kemarin tidak mau masuk sampai sekarang ada apa ia mohon petunjuk ðŸ™ Kendala kami susah masuk di aplikasi wondr BNI,Negatif
"Aplikasi kurang responsif, setiap mau bukak aplikasi, mesti di restart dulu hp nya, sudah di coba di Samsung A25, samsung A55 tetap sama, ribet pakai aplikasi ini",Negatif
"aplikasi apa ini?.ga jelas dari security cabang ngasih ini.aplikasinya lemot,email verifikasi ga bisa telat Mulu..semoga kedepannya lebih baik sementara saya hapus dulu",Negatif
Aplikasi sampah mau verifikasi email aja lama bgt sampe keluar bukannya makin bagus malah makin sampah,Negatif
akses lemot!! nyesel malah uninstall m banking mobile,Negatif
"Verifikasi email ga masuk"", kode OTP nya ga masuk email. tolong dong dibenerin padahal udh bener emailnyaaa",Negatif
Sistem terjelek,Negatif
"Jelek, tidak bisa memasukkan kode otp. Kode salah terus padahal yg di input sudah tepat.",Negatif
Kode OTP ngk sampai2 ke email.,Negatif
kirim otp email lama banget. sekalinya dapet udah kadaluarsa,Negatif
"Mau verif email nomernya kelamaan, gamasuk2 di email, 2-3jam baru muncul",Negatif
Knpa nggak bisa buka,Negatif
"HEH BNI PELAYANAN BUTUT AMAT !! BERAPA HARI GABISA VERIFIKASI EMAIL. OTP DATENG LEBIH DR 20 MENIT, KEBURU APLIKASI NYA CLOSE OTOMATIS !! MENGHAMBAT AKTIVITAS. NELPON CS JUGA GA ADA SOLUSI",Negatif
"Buat aplikasinya yang benar ya ges, kita bukan main game tapi transaksi keuangan",Negatif
Aplikasi sangat buruk install ulang ribet harus verifikasi wajah tidak kedetect berkali-kali,Negatif
Aplikasi gajelas minta kode OTP lamanya minta ampun skalinya dkirim salah ini betulang smpe 5x pdhal OTP yg dkirim lewat Gmail bner tpi knp ga salah? Bingung dah siapah yg bikin APKnya. PARAHHH,Negatif
"verifikasi email gagal terus, padahal kode otp udah bener tapi pas masukin kodenya salah, terus sekarang udah ga bisa disuruh tunggu besok",Negatif
"Aplikasi lemot sekali, buat pembayaran Qris Gagal sampai 5x padahal internet lancar dan saldo pun isi.",Negatif
Di suruh verifikasi email. Email Sudah benar dan sudah masukin otp yang benar ber kali-kali tapi di blang salah! Perbaiki dong !!!!,Negatif
"Kode OTP ribuan kali ditunggu sampai waktu habis tetap tidak kunjung bisa, kode terkirim setelah waktu habis. Kode OTP untuk verifikasi Email min",Negatif
"Lama banget fitur setor tunainya, kalo lama munculnya mending di bni mobile jangan dihilangkan dulu",Negatif
"Saya mau masuk aplikasi aja susah banget kaya lagi urgen malah terkendala""malah katanya anda sudah terlalu banyak masukin data"" Di suruh masukin besok lagi. Padahal kesalahan aplikasi yang susah membaca wajah. Harus nya lebih efisien lagi.",Negatif
"Ribet banget, setiap masuk pasti gagal,setalah 2x coba masuk, harus nunggu besok",Negatif
Kenapa kode Gmail yang di kirim selalu tidak bisa di loginkan sampai sekarang tidak bisa di pakai apk nya,Negatif
Susahnya verifikasi wajah..,Negatif
"Kenapa tidak ada bukti transaksinya?padahal sukses, perbaikilah",Negatif
"Maksud nya apa yah emang dari sananya ya apa gmana saldo saya masa sebulan kepotong 50.000 terus keterangan nya denda, denda apaan yah. Limit nya juga 50.000 ragu gua jadi nya",Negatif
"Aplikasi otp nya kacau. Aplikasi otp email 8-10 menit, tapi aplikasi di refresh tiap 3-4 menit. Alhasil susah verifikasi email. Tolong segera di diperbaiki otp verifikasi emailnya. Atau verifikasi via link aja dalam 20 mnit. Jdi nggak ribet tunggu kode otp 8-10 menit.",Negatif
Verifikasi email aja susah bener terus yg BNI mobile tuh kalo login biasa pake biometrik lah ini ga jadi ribet,Negatif
Masih ada bug di android 14. Habis upgrade hp saat melakukan face id tidak bisa masuk. Muncul notifikasi eror pada system aplikasinya. Dan di bales dong. Di ulasan ini. Saya tidak memiliki masalah dalam pasword.,Negatif
"Bni kalo bikin apk ga pernah bener, mau aktifin login biometrik biar ga perlu masukin pin malah apk nya ngehang langsung for close setiap mau dibuka, di bni mobile begitu di wonder juga begitu, tolong lah dibenerin masa perkara login biometrik ajah bikin apk eror",Negatif
"Kode Verifikasi email nya lama, sampe harus ngulang beberapa x dan sesering mungkin, dan akhirnya melebihi batas......",Negatif
"Sebenarnya sudah enak pakai aplikasi ini, cuman kekurangannya gak bisa download semua transaksi dalam bentuk pdf.. akhirnya pakaian aplikasi yg lama",Negatif
"beli pulsa di sini saldo sudah kepotong tapi pulsa belum masuk, gaada csnya di aplikasi",Negatif
"Isi pulsa gak masuk dan transaksi katanya gagal di email juga transaksi tidak berhasil tapi saldo kok berkurang pulsa pun gak masuk masuk, cek di riwayat tertulis pengeluaran, gimana sih mengecewakan, kan kalo gini nasabah yang dirugikan.",Negatif
"Saya sudah punya id m banking tapi kenapa mau login di wonder gabisa malah di suruh buat kaya awal , penyakitnya tetap di verifikasi wajah SUDAH MENGIKUTI INSTRUKSI TAPI TETAP TIDAK BISA.",Negatif
Gak bisa setor tunai,Negatif
"Aplikasi yg masih gagal, saya nyesal BNI mobile saya hapus, disuruh verifikasi wajah suruh hadap kanan atau ke atas tapi ada arahan hadap lain lagi. Mana bisa kita kan masih hadap ke atas",Negatif
Ini ko rebet anat gua dah bikin pw befkali2 ditolak mulu,Negatif
"isi pulsa gagal, trus coba lagi gagal lagi tapi saldo malah kesedot, bikin Rugi aja, udh kirim keluhan lewat email, balasan emailnya doang cepat tapi perbaiki kesalahan nya lama, sampe sekarang belum ada info. Kecewa banget sih",Negatif
Verivikasi wajah nya ga bisaÂ² udh ikut instruksi gagal terus,Negatif
"Verikasi email, minta kodenya kapan dikirimnya kapan!!",Negatif
Kenapa verifikasi email saya tidak bisa juga padahal email yang saya masukan betul dan sudah saya ulangi sampai beberapa kali tetap tidak jadi.,Negatif
"Proses verifikasi via email sangat lambat kirim kode otp nya, sedangkan waktu di aplikasi dibatasin",Negatif
"Aplikasi belom mateng, minta verifikasi email gk dikirim-kirim, mending pake bni mobile banking yg sblumnya aj lebih enak,",Negatif
Wajib verifikasi by email tapi di email masuk tetap kosong,Negatif
"Aplikasi apaan ni, verifikasi email gak muncul muncul kodenya berjam jam nunggu gada masuk, kalo kek gini mending gausah nyuruh pindah dulu, aplikasi masih cacat",Negatif
Verif email dr jam 3 sore sampe jam 7 malem lamaaaaaaa bgt kirim OTPnya ampe 10 menit lebih. Waktu di masukin gagal terus. Mau transaksi jd gabisa mana lg urgent,Negatif
"Mau verifikasi aja susah bener. Kode OTP di email ga munculÂ², munculnya pas udah 19-25 menit kemudian padahal udh refreshÂ² terus. Jadi susah transaksi tau nggak! Developer kacau. Kalian belum siap dan ga pantes untuk mbanking. Bikin emosi aja",Negatif
kecewa.. top up bukannya masuk ke saldo malah masuk ke asset jdi gk bsa d gunakan dana nya.,Negatif
"Mohon bantuannya saya dapat email verifikasi kode otp , ketika di masukan salah terus menerus , sampai kepala saya pusing gara2 aplikasi wonder",Negatif
Verifikasi email yang sangat lama sekali,Negatif
Awal donwload aplikasi berjalan lancar.. dihari berikutnya setiap buka aplikasi hrs daftar lagi daftar lagi.. udh gtu pake verifikasi wajah berulang kali gagal terus.. katanya mau beralih dari mbanking bni ke wondr bni.. tp sprt nya wondr ini blm siap digunakan.. kecewa.. mohon ditingkatkan kembali,Negatif
Hadew.... Otp verivikasi batas waktu 5 menit tapi emailnya masuk 15 menit kemudian ya gimana bisa verifikasi... Malah emailnya keblokir...,Negatif
"Aplikasi terjelek yang pernah saya pakai, mau verifikasi kode otp aja ngga bisa2, sudah diulang terus nanti muncul di email terus dimasukkan ke otp, gagal terus dan berulang gitu aja terus sampe kiamat kurang 2hari",Negatif
SALDO SAYA HILANG. PIN SAYA DIGANTI. GA WORTH IT INI JGN DI INSTAL.,Negatif
"Verifikasi email aja lama nungguin kodenya kaga kekirim kirim ke email terkait, hapus aja broo ga gunaaaa",Negatif
"Maaf Saya hapus Susah banget verifikasi email, kode nya telat, pas masuk kode selalu tidak berlaku kualitas buruk, kenapa sih aplikasi Milik BUMN paste jelek padahal dapat duit dari negara",Negatif
Ribet gak jelas,Negatif
"Gagal terus verifikasi email, karena pengiriman OTP ke emailnya lamaaaaa banget. Giliran email udah masuk, harus ulang lagi.. Dan sampai saat ini masih begitu terus dan belum bisa digunakan sama sekali. Tks",Negatif
Gangguan mulu,Negatif
"Tolong kerjasamanya ya pihak BNI... Saya minta kode OTP untuk registrasi lewat email selama 5 menit eh 10 menit baru muncul itu pun,udah ngga valid lagi. Please ya kerjasamanya",Negatif
"Apa coba otp gak masuk masuk ke email, mana wajib verif email lagi, bank digital ter kocak",Negatif
"Sementara saya kasih â­1. Pertama kali donload, dipakai transaksi malah bikin masalah. transfer VA antar bank malah gagal transaksi tapi saldo dipotong. Sebelumnya via BNI mobile biasa ngga pernah masalah transfer ke VA tsb. Semoga pihak aplikasi atau bank bertanggung jawab untuk mengembalikan saldo saya seperti semula. Nanti saya updte rating kembali klo masalah sudah selesai",Negatif
Belom tersedianya fitur setor tunai,Negatif
Lelet Tante... Kalau server belum kuat jangan dipaksain deh...,Negatif
Fitus tidak lengkap,Negatif
Saya top up paket data telkomsel informasi nya gagal tapi saldo saya berkurang,Negatif
Setiap coba aktifasi minta kirim OTP ke email ampun lemot amat respon nya sampai habis batas waktu nya ngulang lagi begitu lagi ngulang lagi begitu lagi sampai akhirnya tidak bisa di aktifasi menyebalkan jadi wonderku ga aktif aktif tolong dong di perbaiki lebih gesit kirim OTP nya ke email,Negatif
"Woiii ini yang bener aja mau verifikasi email otp susah amat baru aja pertama kali pake mbanking BNI+baru bikin rekening nya kecewa berat banget siii,tolong lah pihak aplikasi wondr by BNI tolong di perbaiki masalah mengenai verifikasi email otp masa lama bgt+ udh di isi ternyata malah tidak valid klo kelamaan nunggu ga di isi"" kode otp nya otomatis keluar sendiri dari aplikasi+ngulangin lagi ngirim kode otp email nya lagi,gimana ngga mau numpuk kode otp email nya!!!",Negatif
"Saya selalu d mintai kode verifikasi email,padah sudah berkali-kali masuk,kadang minta kode otp sampai 3 kali,capek rasanya",Negatif
"Kirim otp ke email lama banget, waktunya 5 menit, 15 menit baru masuk, kadaluarsa lah",Negatif
Susah sekali mw verifikasi email,Negatif
Duh ga bisa verifikasi email,Negatif
Gak bisa masuk ke aplikasi nya,Negatif
"verifikasi email lama banget, giliran mau masukkin otpnya udah berubah lagi",Negatif
Verifikasi otp melalui gmail sangat susah!!!,Negatif
aplikasi macam apa ini sekedar verifikasi email saja tidak bisa,Negatif
Ini juga gak lengkap.... Mau pake BNI mobile gak bisa log in..,Negatif
"Verifikasi wajah sulit sekali, padahal sudah ngikuti perintah. Malah di suruh verifikasi besoknya lagi. Sudah di coba besoknya gagal lagi di suruh besoknya lagi.",Negatif
Ga bisa verifikasi wakah udah di ulang ulang,Negatif
Tidak bisa cek mutasi dari 3 bulan trakhir,Negatif
"Susah sekali mau verifikasi wajah, gagal terus",Negatif
ga bisa liat riwayat transaksi,Negatif
"gajelas masa awalnya -16 trs tiba"" jdi -32 lah apa apaan ko bs nambah",Negatif
Verifikasi wajah gagal mulu gak jelas,Negatif
Verifikasi wajah yang merepotkan,Negatif
Apk gk jelas ribet,Negatif
"Percuma ganti aplikasi tapi gk bisa mobile tunai, mending yang awal",Negatif
Kenapa kok uang saya tiba2 hilang padahal saya tidak mentrasfer siapapun padahal baru gajian uang gajian saya hilang semuanyaðŸ˜­ðŸ˜­,Negatif
Apk ga jelas,Negatif
Apk burik vermuk ga kebaca baca,Negatif
Verifikasi muka aja susahnya minta ampun .... Payah !!!!!,Negatif
TERLALU SULIT VERIFIKASI NYA,Negatif
"Kurang menarik fiturny, seperti sayur ngk pake garemðŸ¤¤",Negatif
Sama aja double aplikasi pake mobile banking. Banyak fitur mobile banking BNI yg gak ada di wondr ðŸ˜©ðŸ˜©,Negatif
"Mau bayar Virtual Account susah bener, gagal lah error lah",Negatif
"Saya terpaksa download aplikasi wondr. Karena IKLAN nya mengganggu di aplikasi BNI mobile. (Iklan menutup seluruh halaman aplikasi BNI mobile). - Aplikasi BNI mobile sudah cukup baik dan stabil kenapa nasabah di ""paksa halus"" pindah ke aplikasi wondr? - Terlalu banyak aplikasi dengan fungsi serupa. Kenapa tidak jadikan aplikasi yang sudah ada menjadi lebih baik,lengkapi, stabil, dan terjamin keamanannya. - saat ini ada 20 macam aplikasi dari BNI. Kenapa tidak di jadikan 1 aplikasi saja?",Negatif
"Aplikasi ngak bisa verifikasi wajah aneh, telpon ke bni call center malah tempat tanggal lahir ngak terbaca profesional dikit lah.saya pegang ktp saya sendiri kayaknya pindah bank aja lebih bagus.",Negatif
Tidak bisa tarik tunai,Negatif
"Aplikasi yang tidak memudahkan, verifikasi nya sulit Verifukasi wajah",Negatif
Kalo masih tahap pengembangan jangan sok untuk di launching ! Norak Tidak bisa Tarik Tunai Cardless seperti aplikasi BNI Mobile yang sebelumnya,Negatif
Sering lemot/lelet padahal jaringan setabil,Negatif
cardless please,Negatif
login susah udh verifikasi ke 8 kalinya tetep ga bisa,Negatif
"Tiap masuk bni mobile, pop up ini menuhÂ²in layar..busukkk",Negatif
"Verifikasi wajahnya susah banget gagal terus padahal sudah ikut panduan yang dilayar , tengok atas bawah lurus gitu mulu malah jadi senam",Negatif
Langkah-langkah verifikasi wajah tidak jelas,Negatif
"Aplikasi gajelas pin udah buat baru masih aja salah, login dengan password tidak bisa saat ganti pin, verifikasi berulang-ulang, yang buat aplikasinya anak ss kah??",Negatif
Saya blm paham sama sekali tentang ini aplikasi tersebut,Negatif
"Verifikasi menggunakan KTP sangat sulit, saya mencobanya 3 kali dan menunggu besok harinya. Setelah dilain waktu akhirnya berhasil. Jikalau aplikasi ini memiliki keunggulan insight sebagai laporan keuangan, sangat bagus sekali tapi sayangnya tanpa bisa mendownload dalam bentuk laporan PDF maka lebih bagus aplikasi sebelumnya. Apaliagi fitur VCN juga tidak ada, jadi kenapa ada aplikasi baru ini kalau less fitur.",Negatif
"Luar biasa, susah sekali verifikasi wajahnya, sampe ngulang 20x baru berhasil",Negatif
Fiturnya masih belum lengkap. Ngapain ya bikin aplikasi baru kalau fiturnya tidak sama dengan bni mobile? Buang waktu saja,Negatif
"menurut saya, harusnya pengguna BNI Mobile sudah ga perlu ribet registrasi lagi, tinggal sinkronkan saja akunnya, nanti setelah login baru ada permintaan data2 yang sekiranya masih dibutuhkan diaplikasi wondr ini",Negatif
"Aplikasi WONDER BNI. keamanan masih sangat MINIM. Semalam SALDO di rekening hilang, uang di rekening HABIS di kuras, sm CRACKER, alhamdulillah terselamatkan cuma 500 Ribu. Riwayat TRANSAKSI bayar scan QRIS, nama marchant : ASEP AYAM SEDAP MANTAP. posisi di kota BANDUNG.",Negatif
Ngestak di awal,Negatif
"Menurut saya pribadi, lebih baik BNI mobile banking dibandingkan wondr",Negatif
"Aplikasi macam apa ini, kok privasi Waja aja sudah banget, anj...ng",Negatif
Kenpa ribet sekli ya,Negatif
"Kecewa sekali dengan apk ini, sering sekali terjadi kendala karena apk sedang perbaikan, sedangkan saya adalah anak muda yang benar-benar bergantung pada m-banking, pernah juga saat top up e-wallet tertulis berhasil tapi saldo e-wallet saya tidak bertambah, sampai akhirnya beberapa waktu kemudian ada pengembalian dana di atm saya, tapi tetap saja ini menggangu kenyamanan saya dalam bertransaksi. Saran saya jika apk ini memang tidak bisa dimaksimalkan tolong kembali ke BNI M-banking biasa saja.",Negatif
"Kalau menu mobile tunai belum ada di wonder, tolong menu mobile tunai yang di aplikasi BNI mobile jangan diblok dulu. Jadi Susah mau setor tunai tanpa kartu di ATM",Negatif
tidak bisa tarik tunai tanpa kartu,Negatif
"Hari ke hari Sllu gagal scen wajah,buat kecewa nasabah di permainkan gak jelas",Negatif
"kebanyakan kendala, Gak Kyak Aplikasi Bank yang lain",Negatif
"ga sengaja hapus apk terus waktu diinstal lagi disuruh login tapi waktu masukin passwordnya dibilang password tidak sesuai akhirnya verif ulang, giliran password bisa ganti pin yang gabisa, gitu terus sampe verif berkali2...",Negatif
"Aplikasi Sangat Sulit Verivikasi Wajah, Hapus aja aplikasi ini, gak guna",Negatif
Vertifikasi wajah susah ðŸ¥º,Negatif
aplikasi membingungkan soal verifikasi wajah selalu tidah bisa sudah di coba berkali-kali di tempat terang tetap tidak bisa,Negatif
"Gabisa buat tarik tunai tanpa kartu, gajelas",Negatif
Sudah 2 hari mau tf tidak berhasil dengan alasan tim sedang memperbaikiðŸ™„,Negatif
"Halah.. sama saja pun.. malah lebih lengkap bni mobile banking.. ini modus cari nasabah aja.. nyesal pula daftar lagi.. jadi pnya 2 rekening di BNI nya, yg fasilitas nya hampir sama. Kenapa ga BNI mobile banking nya saja yg dikembangkan. Penuh2in kapasitas penyimpanan HP saja.",Negatif
Ini bagaimana verifikasi email GK bisa2?!! Aplikasi apa lah ini mau menggantikan BNI bangking.. Jdi cmna mau verifikasi kalau no verifikasi nya salah semua!!,Negatif
"Parah , verifikasi di persulit padahal sudah pas , berulang ulang dari kemaren selalu gagal , gak kaya apk lain nya sekali sudah lurus lgsg berhasil verifikasi nya",Negatif
Transaksi wondr BNI tidak masuk ke rekening Tujuan Tapi saldo berkurang,Negatif
Duh nyusahin bgt gk bs tarik tunai..mna sdh uninstal yg lma lg,Negatif
Paling susah divermuk.. Bsk klo sdh jdi ATM gw mls pke lgi.. Berahli ke mandiri. Pling repot,Negatif
Gampang error,Negatif
Verifikasi muka susah sekali hingga tertulis coba lagi besok,Negatif
Apa an masa verifikasi udah 7 kali di kirim salah semua.. Apk busuk ini mah..,Negatif
"Saya top up e wallet dana sampai 2x gak pernah masuk, tulisan nya saja transaksi berhasil nyata nya gak masuk masuk saldonya heran tapi dicek pakai BNi mobile banking (apk lama) transaksi berhasil tapi tidak masuk masuk. Tolong lah jangan membuat kecewa",Negatif
"Sudah dua kaLi saya melakukan transaksi tapi si penerima tidak menerima, padahal status sudah berhasiL ,dan saldo saya sudah terpotong, apk rusak",Negatif
"Salagh tf, bantuin buat kabarin ke rekening yg nyasar aja ribet banget",Negatif
"Saya tidak bisa menggunakan aplikasi ini karena masih terjebak di Verifikasi wajah. Saya sudah lepas aksesoris di wajah saya, mengikuti perintah sesuai dengan yang diminta, tapi selalu gagal, sampai muncul kata ""coba lagi besok ya"". Apa karena wajah saya tidak tampan sampai harus gagal verifikasi wajah berkali-kali?",Negatif
Lebih enak BNI Mobile baking. Verifikasi wajah sangat sulit.,Negatif
Ngeliat transaksi masuk harus besoknya,Negatif
BNI parah saya ke bank BNI rajawali mau bikin tabungan orang tua di cek uda ada rekening bansos saya mau tutup bansos ga bisa dan bikin tabungan baru lg ga bisa gitu ama mau bikin yang baru itu buat pribadi tau,Negatif
"sampah, TETAP BCA TERBAIK!!!",Negatif
Kode otp email benar tapi infonya salah masukkan. Gimana sih. Emailnya bener juga... Di ulang2 tetep ga bisa konfirmasi email. Aneh beuttt,Negatif
apl gajelas!!!! foto muka aja gagal mulu.,Negatif
Selalu ganguan kurang nyaman saat kita mengunakannya. Agak lambat.tolong di tingkatkan sistemnya.,Negatif
Masuknya lama,Negatif
"setor tunai yg 150 gak masuk, keluar kertas terjadi kesalahan smpe di bank bni mengadu malah harus nunggu 10 hri waduh apes hri ini, bni gk ada solusi malah d suru nunggu 10 hri",Negatif
verifikasi wajah sulit,Negatif
Notifikasi transaksi telat,Negatif
